Field,ID,RA_1,DEC_1,Z,PLATE,MJD,FIBERID,u_PStotal,J0378_PStotal,J0395_PStotal,J0410_PStotal,J0430_PStotal,g_PStotal,J0515_PStotal,r_PStotal,J0660_PStotal,i_PStotal,J0861_PStotal,z_PStotal
STRIPE82-0001,iDR3.STRIPE82-0001.010730,0.5072020055155364,-1.1131117331668126,1.367038369178772,7850,56956,768,22.231377,23.851276,22.330103,23.241573,22.136787,21.689129,22.879745,20.958813,20.874798,20.751352,20.429937,20.408646
STRIPE82-0001,iDR3.STRIPE82-0001.010992,359.483487420276,-1.105306449327398,2.755401611328125,7848,56959,162,22.782757,26.292818,99.0,22.019863,25.943655,22.048265,21.997019,22.039692,22.212059,21.984083,21.394289,21.79728
STRIPE82-0001,iDR3.STRIPE82-0001.011062,359.9074536860035,-1.1035652653460857,1.6373589038848877,7850,56956,644,22.026917,22.045834,21.356472,21.570694,21.461283,21.543625,21.539482,21.55333,21.112637,20.797478,20.36872,20.774212
STRIPE82-0001,iDR3.STRIPE82-0001.011158,0.3629712909633493,-1.100836052652638,1.935,4216,55477,203,22.022413,21.827295,21.776337,21.4189,23.54442,21.514963,21.52479,21.661213,21.287895,21.118845,20.48784,21.35054
STRIPE82-0001,iDR3.STRIPE82-0001.011556,359.4558072408524,-1.090238263202198,1.8376880884170528,7848,56959,163,21.588528,21.699247,21.312212,21.472103,20.958326,20.829582,21.370092,20.556252,20.490955,20.270325,20.561876,20.08955
STRIPE82-0001,iDR3.STRIPE82-0001.011575,359.7003167192993,-1.089866967130997,1.64524245262146,7848,56959,48,21.117567,20.488161,20.898615,20.366386,20.340801,20.515806,20.528698,20.163036,20.184937,20.094254,19.981398,20.13036
STRIPE82-0001,iDR3.STRIPE82-0001.011712,359.84253489046745,-1.0858890449323126,1.82691752910614,7848,56959,41,22.195435,21.593004,21.83706,22.564396,21.88188,21.474106,21.192228,21.601067,21.891033,21.71293,21.353857,21.393837
STRIPE82-0001,iDR3.STRIPE82-0001.011817,0.6023966055204627,-1.0821009978111236,1.366139531135559,7850,56956,807,21.58987,21.664621,21.04155,21.923481,21.39356,21.631035,21.831638,21.344128,20.823963,20.801083,20.596025,20.664696
STRIPE82-0001,iDR3.STRIPE82-0001.011863,359.57144320330525,-1.0809658437312264,2.77919602394104,7850,56956,606,23.313814,22.559284,21.280354,23.73941,22.069315,22.11266,22.287731,21.736763,21.34888,21.427597,22.779425,21.67767
STRIPE82-0001,iDR3.STRIPE82-0001.011955,0.4733148059316124,-1.078695760745258,2.630373954772949,7850,56956,764,21.934513,21.988548,21.05197,22.056538,21.570457,21.506702,21.21567,21.327961,21.198517,21.266626,20.797636,20.981457
STRIPE82-0001,iDR3.STRIPE82-0001.011996,0.066928244145498,-1.0774665706723685,1.6360975503921509,7850,56956,690,20.66053,20.765974,20.370821,20.391884,20.356602,20.379543,20.356081,20.261871,20.235409,19.974236,20.393118,20.066692
STRIPE82-0001,iDR3.STRIPE82-0001.012067,0.2630170973420546,-1.0750065577993295,1.642,7850,56956,726,21.621048,21.879068,21.848827,21.222721,21.621431,21.603603,21.257086,21.744083,21.8278,21.747122,20.991499,21.924438
STRIPE82-0001,iDR3.STRIPE82-0001.012308,0.0511919793852694,-1.0682900455423097,0.9493800401687622,7850,56956,682,22.978111,22.074776,21.927044,23.130867,23.111742,22.11948,22.465685,21.65044,21.820675,21.840263,21.347464,21.043247
STRIPE82-0001,iDR3.STRIPE82-0001.012320,0.2370432315891666,-1.0693564453545856,2.108868,387,51791,98,20.898962,19.423523,20.286606,20.684502,20.33682,20.188377,20.248781,19.676243,19.804573,19.39222,19.024546,19.154758
STRIPE82-0001,iDR3.STRIPE82-0001.012324,0.2162193179436003,-1.067757609325559,1.5204133987426758,7850,56956,725,22.745497,22.382248,23.273228,22.718502,21.310646,21.953434,23.238983,21.585865,22.111069,21.685846,21.146261,22.142326
STRIPE82-0001,iDR3.STRIPE82-0001.012453,0.1301957018560174,-1.0640986802752208,2.416,4216,55477,248,22.553398,21.726698,21.883438,21.336369,21.690145,21.436752,22.404348,21.371578,21.48151,21.381702,21.718328,22.033958
STRIPE82-0001,iDR3.STRIPE82-0001.012482,359.98288566444694,-1.0630635829003758,0.9790720343589784,7850,56956,648,23.975636,24.868145,99.0,21.465332,25.224047,22.536585,99.0,22.03785,22.390614,22.029894,21.724615,21.290325
STRIPE82-0001,iDR3.STRIPE82-0001.012525,359.35740654156245,-1.0617556043791896,2.384,9159,57666,157,22.861595,22.229677,21.916512,21.546272,22.051903,21.624363,21.306492,21.35595,20.94199,21.413536,21.083452,20.97791
STRIPE82-0001,iDR3.STRIPE82-0001.013338,0.3266626984134103,-1.0393523510822584,1.967547,387,51791,42,19.767208,19.80142,20.176165,19.772411,19.966637,19.686277,19.767502,19.55486,19.607048,19.283367,19.20931,19.186214
STRIPE82-0001,iDR3.STRIPE82-0001.013895,0.5436980821252123,-1.02397517463887,2.648,4216,55477,173,22.38551,20.880274,20.800798,20.67147,20.755157,20.124119,19.719915,19.458427,19.564098,19.390743,19.296114,19.474098
STRIPE82-0001,iDR3.STRIPE82-0001.013977,0.2939323955865461,-1.0216252019722327,2.182,7850,56956,727,22.119913,22.211552,20.835976,21.230724,21.411352,21.087687,21.710917,21.21999,21.217438,21.139534,20.992983,20.836334
STRIPE82-0001,iDR3.STRIPE82-0001.014232,359.5377089608659,-1.0142502243608589,0.975,4216,55477,412,21.396832,21.086329,21.472593,21.328033,20.833027,20.920042,20.973417,20.74638,20.688969,20.466656,20.551123,20.321587
STRIPE82-0001,iDR3.STRIPE82-0001.014288,0.1130459690181663,-1.012569861369814,1.2640626430511477,7850,56956,686,21.24109,22.235836,21.89434,21.496761,21.439386,21.072596,21.583979,20.624355,20.511044,20.321106,20.104666,20.184708
STRIPE82-0001,iDR3.STRIPE82-0001.014491,359.58364725591986,-1.0057309222031958,1.649686,685,52203,263,19.846619,19.818987,19.851913,19.355228,19.749294,19.579264,19.5274,19.499027,19.416924,19.286488,19.356657,19.291237
STRIPE82-0001,iDR3.STRIPE82-0001.014543,0.4456930581107838,-1.0043942312167682,2.912534236907959,7850,56956,762,24.269651,23.144024,21.84458,21.590172,22.472166,21.910036,22.894524,21.534157,21.42759,21.232637,21.5435,22.024666
